Date,Mgr_LS,Mgr_A,Mgr_B,Mgr_C
2016-01-04,11.220000267028809,28.229999542236328,10.192000389099121,40.20000076293945
2016-01-05,11.239999771118166,28.25,10.1899995803833,40.15999984741211
2016-01-06,11.13000011444092,27.90999984741211,10.109999656677246,39.650001525878906
2016-01-07,10.850000381469728,27.09000015258789,9.829000473022461,38.630001068115234
2016-01-08,10.72000026702881,26.709999084472656,9.717200183105469,38.2599983215332
2016-01-11,10.760000228881838,26.65999984741211,9.693177270971601,38.18000030517578
2016-01-12,10.88000011444092,26.92000007629395,9.805282921492203,38.45000076293945
2016-01-13,10.600000381469728,25.94000053405762,9.496991427982461,37.29999923706055
2016-01-14,10.750000000000002,26.430000305175785,9.630117842553764,37.83000183105469
2016-01-15,10.47000026702881,25.70999908447266,9.431930249316482,36.88999938964844
2016-01-19,10.539999961853031,25.72999954223633,9.417917043001406,36.869998931884766
2016-01-20,10.420000076293949,25.610000610351566,9.373874719229953,36.68000030517578
2016-01-21,10.460000038146974,25.70000076293946,9.39789763136382,36.869998931884766
2016-01-22,10.699999809265138,26.280000686645515,9.605093578006782,37.630001068115234
2016-01-25,10.590000152587892,25.89999961853028,9.490986177238039,37.060001373291016
2016-01-26,10.699999809265138,26.110000610351566,9.571061914632207,37.470001220703125
2016-01-27,10.529999732971193,25.47999954223633,9.380881322387491,37.0
2016-01-28,10.63000011444092,25.549999237060547,9.544035899837086,37.2400016784668
2016-01-29,10.840000152587892,26.040000915527347,9.716198830692358,37.88999938964844
2016-02-01,10.859999656677248,26.1299991607666,9.79126971517713,37.950000762939446
2016-02-02,10.670000076293947,25.489999771118164,9.620108136734972,37.13000106811523
2016-02-03,10.640000343322756,25.399999618530273,9.553044253242765,37.18999862670898
2016-02-04,10.600000381469728,25.5,9.524017442777588,37.33000183105468
2016-02-05,10.310000419616701,24.489999771118164,9.166678772586996,36.270000457763665
2016-02-08,10.140000343322756,23.799999237060547,8.900426898022479,35.58000183105468
2016-02-09,10.109999656677248,23.870000839233402,8.91343875192444,35.419998168945305
2016-02-10,10.13000011444092,24.110000610351562,8.981503033251675,35.520000457763665
2016-02-11,10.119999885559084,23.850000381469727,8.927451958239516,35.18999862670898
2016-02-12,10.28999996185303,24.270000457763672,9.060578372810818,35.86999893188476
2016-02-16,10.47999954223633,24.84000015258789,9.222731597847297,36.56000137329101
2016-02-17,10.649999618530273,25.530000686645508,9.42292094133272,37.38999938964844
2016-02-18,10.600000381469727,25.239999771118164,9.320824996630911,37.040000915527344
2016-02-19,10.65999984741211,25.299999237060547,9.337841305607242,37.130001068115234
2016-02-22,10.8100004196167,25.739999771118164,9.46596191269106,37.7400016784668
2016-02-23,10.680000305175781,25.420000076293945,9.37287432139493,37.22999954223633
2016-02-24,10.710000038146974,25.51000022888184,9.442940352970306,37.380001068115234
2016-02-25,10.810000419616703,25.850000381469734,9.584073768534171,37.689998626708984
2016-02-26,10.770000457763675,25.93000030517579,9.600088725097388,37.75
2016-02-29,10.69999980926514,25.709999084472663,9.479975119006134,37.5
2016-03-01,11.000000000000004,26.430000305175792,9.703186976790398,38.43000030517578
2016-03-02,10.989999771118168,26.479999542236335,9.735216889916833,38.56000137329101
2016-03-03,11.000000000000005,26.459999084472663,9.721203683601757,38.68999862670897
2016-03-04,11.060000419616705,26.45000076293946,9.730212037007437,38.86000061035155
2016-03-07,11.050000190734869,26.39999961853028,9.68817241806221,38.86999893188475
2016-03-08,10.98999977111817,26.069999694824226,9.584073768534173,38.27999877929686
2016-03-09,11.010000228881841,26.20000076293946,9.642129298620702,38.49000167846678
2016-03-10,11.000000000000005,26.20000076293946,9.632119592801908,38.47000122070311
2016-03-11,11.180000305175787,26.780000686645515,9.809287376566576,39.229999542236314
2016-03-14,11.159999847412115,26.790000915527354,9.83230893628733,39.1699981689453
2016-03-15,11.119999885559087,26.559999465942393,9.668153961002709,38.99000167846678
2016-03-16,11.199999809265144,26.629999160766612,9.742223493074368,39.29000091552733
2016-03-17,11.239999771118173,26.62000083923341,9.74322484548748,39.4199981689453
2016-03-18,11.2799997329712,26.87000083923341,9.771251258117632,39.59000015258788
2016-03-21,11.310000419616708,26.950000762939467,9.81229047922783,39.63000106811523
2016-03-22,11.310000419616708,26.979999542236342,9.845321744767377,39.66999816894531
2016-03-23,11.260000228881845,26.780000686645522,9.78226136177145,39.33000183105469
2016-03-24,11.250000000000009,26.76000022888185,9.799277670747781,39.369998931884766
2016-03-28,11.250000000000009,26.719999313354506,9.811289126814716,39.349998474121094
2016-03-29,11.390000343322763,27.040000915527358,9.929400982657828,39.779998779296875
2016-03-30,11.449999809265146,27.100000381469744,9.931402732905969,39.970001220703125
2016-03-31,11.420000076293954,27.030000686645526,9.962432248197373,39.91999816894531
2016-04-01,11.479999542236337,27.27000045776369,10.050515941162194,40.15999984741211
2016-04-04,11.449999809265146,27.250000000000018,9.968437498941798,40.02000045776367
2016-04-05,11.350000381469735,26.89999961853029,9.918390879004008,39.68000030517578
2016-04-06,11.500000000000009,27.319999694824237,10.081544501875513,40.27000045776367
2016-04-07,11.369999885559091,26.940000534057635,9.971440601603053,39.790000915527344
2016-04-08,11.39999961853028,26.920000076293963,9.947417689469185,39.959999084472656
2016-04-11,11.36999988555909,26.8099994659424,9.890363511795771,39.84000015258789
2016-04-12,11.439999580383308,27.06999969482424,9.960430497949234,40.290000915527344
2016-04-13,11.55000019073487,27.459999084472678,10.080544104040488,40.790000915527344
2016-04-14,11.579999923706064,27.500000000000018,10.097560413016817,40.810001373291016
2016-04-15,11.569999694824228,27.479999542236346,10.112574017166919,40.709999084472656
2016-04-18,11.640000343322763,27.67000007629396,10.181639650907268,40.9900016784668
2016-04-19,11.699999809265147,27.620000839233413,10.156616340938372,40.93000030517578
2016-04-20,11.699999809265147,27.729999542236342,10.172631297501589,41.06999969482422
2016-04-21,11.640000343322765,27.77000045776369,10.181639650907266,41.0099983215332
2016-04-22,11.550000190734874,27.530000686645526,10.095558662768674,40.95000076293945
2016-04-25,11.529999732971202,27.4300003051758,10.075539251131088,40.810001373291016
2016-04-26,11.510000228881847,27.36000061035158,10.05151633899722,40.93000030517578
2016-04-27,11.520000457763683,27.36000061035158,10.024491278780184,40.97999954223633
2016-04-28,11.47000026702882,27.12999916076662,10.00847536763888,40.56999969482422
2016-04-29,11.539999961853038,27.200000762939474,9.975444102099333,40.59000015258789
